Date : 2023-11-25 07:06:19
Directory : /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend
Total : 159 files,  31345 codes, 443 comments, 1403 blanks, all 33191 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/landing-site/Stakeholders.js                                        | JavaScript |         85 |          1 |         10 |         96 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/landing-site/Team.js                                                | JavaScript |         88 |          1 |         17 |        106 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/platform/ExploreProjects.js                                         | JavaScript |        199 |          4 |         12 |        215 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/platform/NewApplication.js                                          | JavaScript |        240 |          0 |         18 |        258 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/platform/ProjectView.js                                             | JavaScript |      1,283 |        101 |         68 |      1,452 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/platform/UserLogin.js                                               | JavaScript |         86 |          0 |          9 |         95 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/platform/UserRegister.js                                            | JavaScript |        100 |          0 |          9 |        109 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/utils/TooltipStyles.css                                                   | CSS        |         15 |          1 |          1 |         17 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/utils/qrcodes.js                                                          | JavaScript |          4 |          2 |          1 |          7 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/tailwind.config.js                                                            | JavaScript |         26 |          2 |          1 |         29 |
| Total                                                                                                                                               |            |     31,345 |        443 |      1,403 |     33,191 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
